state_name,year,quarter_file,total_transactions,previous_quarter_transactions
manipur,2021,3.json,3941396,3086275
manipur,2021,4.json,4687439,3941396
manipur,2022,1.json,5313679,4687439
manipur,2022,2.json,6105632,5313679
manipur,2022,3.json,6352742,6105632
manipur,2022,4.json,6428670,6352742
manipur,2023,1.json,3258383,6428670
manipur,2023,2.json,1606271,3258383
manipur,2023,3.json,865478,1606271
manipur,2023,4.json,2113200,865478
manipur,2024,1.json,3845564,2113200
manipur,2024,2.json,5063324,3845564
manipur,2024,3.json,5700096,5063324
manipur,2024,4.json,5750423,5700096
meghalaya,2018,1.json,49571,NULL
meghalaya,2018,2.json,67857,49571
meghalaya,2018,3.json,110290,67857
meghalaya,2018,4.json,161132,110290
meghalaya,2019,1.json,208741,161132
meghalaya,2019,2.json,232286,208741
meghalaya,2019,3.json,306550,232286
meghalaya,2019,4.json,365981,306550
meghalaya,2020,1.json,502283,365981
meghalaya,2020,2.json,635395,502283
meghalaya,2020,3.json,597579,635395
meghalaya,2020,4.json,754008,597579
