state_name,year,quarter_file,payment_type,total_transactions,total_amount
haryana,2022,2.json,TOTAL,234699962,395234238044
haryana,2022,3.json,TOTAL,269361810,428054925472.6
haryana,2022,4.json,TOTAL,296648365,490490295860.9
haryana,2023,1.json,TOTAL,381318464,591150727053
haryana,2023,2.json,TOTAL,457536190,661742447775
haryana,2023,3.json,TOTAL,501519478,677491569062
haryana,2023,4.json,TOTAL,554748233,782271043274
haryana,2024,1.json,TOTAL,604293500,806787895434
haryana,2024,2.json,TOTAL,738553925,905444862852
haryana,2024,3.json,TOTAL,794940220,923206773342
haryana,2024,4.json,TOTAL,841394290,1031958980143
himachal-pradesh,2018,1.json,TOTAL,481918,628737806.3850001
himachal-pradesh,2018,2.json,TOTAL,687695,1183169301.1980002
himachal-pradesh,2018,3.json,TOTAL,886754,1754041432.8539999
himachal-pradesh,2018,4.json,TOTAL,1307883,2621298967.651
himachal-pradesh,2019,1.json,TOTAL,2168718,3381481443.029
himachal-pradesh,2019,2.json,TOTAL,2502306,4875883973.705
himachal-pradesh,2019,3.json,TOTAL,2735180,5572018780.870999
himachal-pradesh,2019,4.json,TOTAL,3516646,7271163537.147
himachal-pradesh,2020,1.json,TOTAL,4144480,7419466751.03
himachal-pradesh,2020,2.json,TOTAL,4695730,8036904762.931
himachal-pradesh,2020,3.json,TOTAL,5489876,10516054014.42
himachal-pradesh,2020,4.json,TOTAL,7272328,13989053108.29
himachal-pradesh,2021,1.json,TOTAL,7614029,14120546910.03
himachal-pradesh,2021,2.json,TOTAL,9483902,16495634540.03
himachal-pradesh,2021,3.json,TOTAL,12064167,21310262071.76
himachal-pradesh,2021,4.json,TOTAL,14666864,26136220501.46
himachal-pradesh,2022,1.json,TOTAL,16088180,26518447439.86
himachal-pradesh,2022,2.json,TOTAL,21291371,33709107957.74
himachal-pradesh,2022,3.json,TOTAL,25164868,37380782688.01
himachal-pradesh,2022,4.json,TOTAL,28555136,41779343232.420006
himachal-pradesh,2023,1.json,TOTAL,27301726,37740947734
himachal-pradesh,2023,2.json,TOTAL,35061595,46875063718
himachal-pradesh,2023,3.json,TOTAL,33337054,41854571637
himachal-pradesh,2023,4.json,TOTAL,38651839,48280246564
himachal-pradesh,2024,1.json,TOTAL,39520561,47884231339
himachal-pradesh,2024,2.json,TOTAL,52583801,59849740702
himachal-pradesh,2024,3.json,TOTAL,49737549,56615941598
himachal-pradesh,2024,4.json,TOTAL,53798398,63736996234
jammu-&-kashmir,2018,1.json,TOTAL,941568,1005371239.23
jammu-&-kashmir,2018,2.json,TOTAL,1796326,2651206236.9300003
jammu-&-kashmir,2018,3.json,TOTAL,2303961,3934700999.8450003
jammu-&-kashmir,2018,4.json,TOTAL,2721310,5664720265.392
jammu-&-kashmir,2019,1.json,TOTAL,3584987,5951835476.661999
jammu-&-kashmir,2019,2.json,TOTAL,2296355,6100142201.073999
jammu-&-kashmir,2019,3.json,TOTAL,1116526,3744230491.8025002
jammu-&-kashmir,2019,4.json,TOTAL,489928,1929695997.8522
jammu-&-kashmir,2020,1.json,TOTAL,921630,2937643176.47
jammu-&-kashmir,2020,2.json,TOTAL,2635006,8265648939.01
jammu-&-kashmir,2020,3.json,TOTAL,3465898,11977229761.039999
jammu-&-kashmir,2020,4.json,TOTAL,5754444,15380905802.94
jammu-&-kashmir,2021,1.json,TOTAL,6997570,17138349892.550001
jammu-&-kashmir,2021,2.json,TOTAL,10027819,22813755429.249996
jammu-&-kashmir,2021,3.json,TOTAL,13151041,31598443647.83
jammu-&-kashmir,2021,4.json,TOTAL,16790628,38926237426.119995
jammu-&-kashmir,2022,1.json,TOTAL,16245311,33147863626.76
jammu-&-kashmir,2022,2.json,TOTAL,23813747,46254290836.79
jammu-&-kashmir,2022,3.json,TOTAL,22534394,40963554502.94
jammu-&-kashmir,2022,4.json,TOTAL,27316158,44315295915.83
jammu-&-kashmir,2023,1.json,TOTAL,38927244,55921747581
jammu-&-kashmir,2023,2.json,TOTAL,54588299,76530005380
jammu-&-kashmir,2023,3.json,TOTAL,63903579,86016148426
jammu-&-kashmir,2023,4.json,TOTAL,69167132,93070141760
jammu-&-kashmir,2024,1.json,TOTAL,75116355,93960928941
jammu-&-kashmir,2024,2.json,TOTAL,108179014,129061756911
jammu-&-kashmir,2024,3.json,TOTAL,119555288,144470345977
jammu-&-kashmir,2024,4.json,TOTAL,126261217,160951295519
jharkhand,2018,1.json,TOTAL,2178921,2374186390.2700005
jharkhand,2018,2.json,TOTAL,3152080,4721575659.35
jharkhand,2018,3.json,TOTAL,8122621,8661571417.460001
